;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14
s1;0.000;25.110;18.855;0.430;30.881;20.429;28.912;15.675;32.230;14.574;19.822;33.181;32.474;23.314
s2;25.110;0.000;16.363;24.953;9.847;5.499;18.139;17.340;15.344;18.441;6.950;15.123;15.325;10.658
s3;18.855;16.363;0.000;19.180;24.516;16.567;33.224;24.404;29.906;24.169;15.115;28.955;29.887;23.759
s4;0.430;24.953;19.180;0.000;30.724;20.273;29.342;15.518;32.660;14.417;19.666;33.587;32.904;23.157
s5;30.881;9.847;24.516;30.724;0.000;11.609;9.547;20.243;6.312;21.344;13.060;5.384;6.294;10.597
s6;20.429;5.499;16.567;20.273;11.609;0.000;18.773;11.841;16.114;12.942;1.451;15.894;16.096;8.296
s7;28.912;18.139;33.224;29.342;9.547;18.773;0.000;16.262;3.318;17.363;20.224;4.269;3.758;10.927
s8;15.675;17.340;24.404;15.518;20.243;11.841;16.262;0.000;19.580;1.101;13.293;20.006;19.160;11.768
s9;32.230;15.344;29.906;32.660;6.312;16.114;3.318;19.580;0.000;20.681;17.565;0.951;0.717;10.657
s10;14.574;18.441;24.169;14.417;21.344;12.942;17.363;1.101;20.681;0.000;14.394;21.107;20.261;12.869
s11;19.822;6.950;15.115;19.666;13.060;1.451;20.224;13.293;17.565;14.394;0.000;17.345;17.547;9.747
s12;33.181;15.123;28.955;33.587;5.384;15.894;4.269;20.006;0.951;21.107;17.345;0.000;0.932;10.827
s13;32.474;15.325;29.887;32.904;6.294;16.096;3.758;19.160;0.717;20.261;17.547;0.932;0.000;9.940
s14;23.314;10.658;23.759;23.157;10.597;8.296;10.927;11.768;10.657;12.869;9.747;10.827;9.940;0.000
