;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14
s1;0.00;10874.93;5837.99;60.44;12364.21;8453.69;4257.92;3218.99;4726.39;2781.79;8245.76;4925.82;4826.44;9546.78
s2;10874.93;0.00;7782.20;10804.14;4053.38;2196.52;8594.82;7829.95;6689.24;8267.15;2620.68;6633.85;6715.56;4966.20
s3;5837.99;7782.20;0.00;5951.45;9423.12;7634.30;10007.91;10876.62;9539.44;10207.12;7210.15;9340.01;9565.77;10716.26
s4;60.44;10804.14;5951.45;0.00;12293.42;8382.89;4318.36;3148.19;4786.83;2710.99;8174.97;13761.50;4886.88;9475.98
s5;12364.21;4053.38;9423.12;12293.42;0.00;5133.83;2486.21;9441.43;2106.15;9878.63;5557.99;1829.49;2132.47;5279.67
s6;8453.69;2196.52;7634.30;8382.89;5133.83;0.00;8831.51;5633.43;6454.43;6070.63;424.15;6399.05;6480.76;4185.49
s7;4257.92;8594.82;10007.91;4318.36;2486.21;8831.51;0.00;7340.94;468.47;7778.14;9255.66;667.90;585.95;4749.60
s8;3218.99;7829.95;10876.62;3148.19;9441.43;5633.43;7340.94;0.00;7809.41;437.20;6057.58;7515.11;7383.57;5552.50
s9;4726.39;6689.24;9539.44;4786.83;2106.15;6454.43;468.47;7809.41;0.00;8246.61;6878.58;199.43;241.25;5043.49
s10;2781.79;8267.15;10207.12;2710.99;9878.63;6070.63;7778.14;437.20;8246.61;0.00;6494.78;7952.31;7820.78;5989.70
s11;8245.76;2620.68;7210.15;8174.97;5557.99;424.15;9255.66;6057.58;6878.58;6494.78;0.00;6823.20;6904.91;4609.64
s12;4925.82;6633.85;9340.01;13761.50;1829.49;6399.05;667.90;7515.11;199.43;7952.31;6823.20;0.00;225.76;4451.98
s13;4826.44;6715.56;9565.77;4886.88;2132.47;6480.76;585.95;7383.57;241.25;7820.78;6904.91;225.76;0.00;4802.24
s14;9546.78;4966.20;10716.26;9475.98;5279.67;4185.49;4749.60;5552.50;5043.49;5989.70;4609.64;4451.98;4802.24;0.00
