;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30;s31;s32;s33;s34;s35;s36;s37;s38;s39;s40;s41
s1;0.000;20.451;23.649;27.680;22.581;3.783;15.383;10.808;26.761;20.063;29.744;27.060;26.654;24.129;32.533;12.457;16.679;28.129;37.376;28.946;3.861;11.080;27.661;18.869;5.854;22.198;22.986;35.975;8.392;38.383;30.762;30.817;9.984;15.287;37.454;25.285;15.707;26.226;26.902;19.235;20.584
s2;20.451;0.000;23.194;15.129;14.130;20.027;15.715;15.386;13.114;14.879;12.074;9.390;8.984;29.137;14.290;16.453;25.066;16.797;19.134;24.906;18.600;9.371;7.211;9.028;20.593;13.747;16.322;25.002;12.059;19.940;10.898;16.191;17.212;7.555;19.783;4.834;13.102;25.771;7.038;7.865;4.959
s3;23.649;23.194;0.000;11.796;9.064;19.867;14.296;19.451;13.810;12.384;16.968;20.727;19.572;5.943;21.682;17.079;10.615;12.245;26.004;7.993;24.777;26.194;23.473;16.446;26.770;9.447;6.872;15.022;24.867;26.519;26.084;15.554;30.900;19.453;22.190;25.060;33.985;2.577;22.224;31.059;18.235
s4;27.680;15.129;11.796;0.000;7.117;23.897;14.964;19.096;2.015;10.436;6.153;9.552;8.360;15.201;11.412;18.092;14.645;1.975;15.734;9.777;26.925;19.674;12.817;11.862;28.918;7.339;4.924;14.093;22.205;16.248;15.428;5.283;29.016;15.749;11.919;16.517;27.465;14.372;11.569;22.462;10.170
s5;22.581;14.130;9.064;7.117;0.000;19.766;9.147;12.741;6.359;3.486;10.497;12.015;10.822;15.007;17.488;12.275;12.144;8.872;21.937;13.828;20.730;17.151;14.409;7.382;22.723;0.383;2.193;19.226;16.011;21.381;17.020;10.416;26.493;10.389;17.052;15.996;24.942;11.641;13.160;21.995;9.171
s6;3.783;20.027;19.867;23.897;19.766;0.000;11.600;7.025;24.106;16.281;28.245;25.779;25.374;20.346;31.252;8.675;12.897;24.346;36.095;25.163;6.756;10.657;26.870;16.214;8.749;19.544;19.203;32.192;7.969;37.103;29.481;27.654;12.879;13.358;34.290;24.861;17.339;22.443;25.622;18.811;19.303
s7;15.383;15.715;14.296;14.964;9.147;11.600;0.000;5.578;14.634;5.661;18.772;17.826;17.421;17.089;23.299;3.128;9.640;16.719;28.142;21.676;15.458;12.238;18.917;7.281;17.451;8.961;10.040;27.500;10.911;29.150;21.528;18.690;21.581;8.160;25.326;20.348;20.029;16.873;17.669;21.502;11.350
s8;10.808;15.386;19.451;19.096;12.741;7.025;5.578;0.000;17.081;9.255;21.220;19.734;19.329;19.930;25.207;2.838;12.481;21.070;30.050;24.747;9.880;9.887;20.825;9.189;11.873;12.519;14.767;29.948;7.199;31.058;23.436;21.138;16.002;7.831;27.774;20.220;16.569;22.028;19.577;18.042;13.258
s9;26.761;13.114;13.810;2.015;6.359;24.106;14.634;17.081;0.000;9.073;4.138;7.537;6.345;17.215;11.256;17.762;16.660;3.989;15.578;11.791;24.910;17.659;10.802;9.847;26.903;5.976;6.939;12.867;20.190;15.022;13.414;4.056;27.002;13.734;10.693;14.503;25.451;16.387;9.554;20.448;8.155
s10;20.063;14.879;12.384;10.436;3.486;16.281;5.661;9.255;9.073;0.000;13.212;13.195;12.003;18.326;18.668;8.789;11.508;12.191;23.511;17.148;19.135;15.915;15.157;8.008;21.128;3.300;5.512;21.940;14.588;24.095;17.769;13.130;25.257;11.015;19.766;16.745;23.706;14.960;13.909;22.744;9.920
s11;29.744;12.074;16.968;6.153;10.497;28.245;18.772;21.220;4.138;13.212;0.000;4.282;3.090;18.613;7.150;21.900;19.817;4.723;11.472;13.189;27.894;18.664;7.547;13.229;29.887;10.114;11.077;12.928;21.352;12.065;10.159;4.117;26.540;15.106;10.753;13.371;22.429;18.605;6.299;17.193;9.161
s12;27.060;9.390;20.727;9.552;12.015;25.779;17.826;19.734;7.537;13.195;4.282;0.000;1.192;22.372;5.473;20.801;23.576;8.482;10.316;16.948;25.209;15.980;4.863;10.545;27.202;11.632;13.893;17.096;18.668;11.323;7.474;8.285;23.855;12.421;11.166;10.686;19.745;22.364;3.615;14.508;6.476
s13;26.654;8.984;19.572;8.360;10.822;25.374;17.421;19.329;6.345;12.003;3.090;1.192;0.000;21.703;6.665;20.396;22.421;7.813;11.508;16.279;24.804;15.574;4.457;10.139;26.796;10.439;12.700;16.018;18.262;12.516;7.069;7.207;23.450;12.016;12.358;10.280;19.339;21.695;3.209;14.103;6.071
s14;24.129;29.137;5.943;15.201;15.007;20.346;17.089;19.930;17.215;18.326;18.613;22.372;21.703;0.000;23.327;17.558;7.449;13.890;27.649;5.424;25.400;29.327;25.554;22.389;27.393;15.390;12.814;12.453;27.129;24.326;27.922;16.499;31.523;25.250;19.997;31.003;36.499;3.366;24.912;35.200;24.178
s15;32.533;14.290;21.682;11.412;17.488;31.252;23.299;25.207;11.256;18.668;7.150;5.473;6.665;23.327;0.000;26.274;24.531;9.437;4.843;17.903;30.682;21.453;7.080;16.018;30.202;17.105;16.116;18.051;24.141;10.952;4.595;9.240;26.072;17.894;13.117;11.708;21.962;23.319;8.328;16.725;11.949
s16;12.457;16.453;17.079;18.092;12.275;8.675;3.128;2.838;17.762;8.789;21.900;20.801;20.396;17.558;26.274;0.000;10.109;19.847;31.117;22.375;12.718;12.725;21.892;10.257;14.711;12.089;13.168;29.404;10.037;32.125;24.504;21.818;18.840;8.898;28.455;21.287;19.407;19.655;20.644;20.880;14.325
s17;16.679;25.066;10.615;14.645;12.144;12.897;9.640;12.481;16.660;11.508;19.817;23.576;22.421;7.449;24.531;10.109;0.000;15.094;28.853;12.267;17.951;21.878;26.552;16.038;19.944;12.527;9.951;19.296;19.680;29.368;29.126;18.403;24.073;17.801;25.039;28.140;29.050;9.790;25.304;30.523;20.107
s18;28.129;16.797;12.245;1.975;8.872;24.346;16.719;21.070;3.989;12.191;4.723;8.482;7.813;13.890;9.437;19.847;15.094;0.000;13.759;8.466;28.899;21.648;11.664;13.836;30.892;9.094;6.679;12.119;24.180;14.273;14.032;3.308;30.656;17.724;9.944;18.093;26.546;13.882;11.022;21.310;12.144
s19;37.376;19.134;26.004;15.734;21.937;36.095;28.142;30.050;15.578;23.511;11.472;10.316;11.508;27.649;4.843;31.117;28.853;13.759;0.000;22.225;35.525;26.296;11.923;20.861;35.045;21.554;20.438;21.842;28.984;6.109;9.438;13.562;30.915;22.737;9.533;16.551;26.805;27.641;13.171;21.568;16.792
s20;28.946;24.906;7.993;9.777;13.828;25.163;21.676;24.747;11.791;17.148;13.189;16.948;16.279;5.424;17.903;22.375;12.267;8.466;22.225;0.000;30.217;29.450;20.130;21.050;32.210;14.051;11.636;7.307;29.679;19.180;22.498;11.353;36.340;24.057;14.851;26.294;35.012;5.416;19.488;29.776;19.947
s21;3.861;18.600;24.777;26.925;20.730;6.756;15.458;9.880;24.910;19.135;27.894;25.209;24.804;25.400;30.682;12.718;17.951;28.899;35.525;30.217;0.000;9.229;25.115;17.018;1.993;20.348;22.923;37.246;6.541;36.532;28.911;28.967;6.123;13.436;35.603;23.434;11.846;27.354;25.051;15.469;18.733
s22;11.080;9.371;26.194;19.674;17.151;10.657;12.238;9.887;17.659;15.915;18.664;15.980;15.574;29.327;21.453;12.725;21.878;21.648;26.296;29.450;9.229;0.000;16.581;10.649;11.222;16.768;19.343;30.526;2.688;27.303;19.682;21.715;9.343;6.761;27.146;14.205;7.792;28.770;15.822;9.264;9.504
s23;27.661;7.211;23.473;12.817;14.409;26.870;18.917;20.825;10.802;15.157;7.547;4.863;4.457;25.554;7.080;21.892;26.552;11.664;11.923;20.130;25.115;16.581;0.000;11.635;23.122;14.026;16.601;20.278;19.269;12.730;4.235;11.467;18.992;13.512;12.572;8.507;14.882;25.546;1.248;9.646;7.567
s24;18.869;9.028;16.446;11.862;7.382;16.214;7.281;9.189;9.847;8.008;13.229;10.545;10.139;22.389;16.018;10.257;16.038;13.836;20.861;21.050;17.018;10.649;11.635;0.000;19.011;6.999;9.574;22.714;12.298;21.868;14.247;13.904;19.991;3.887;20.540;13.066;18.440;19.023;10.387;16.893;4.069
s25;5.854;20.593;26.770;28.918;22.723;8.749;17.451;11.873;26.903;21.128;29.887;27.202;26.796;27.393;30.202;14.711;19.944;30.892;35.045;32.210;1.993;11.222;23.122;19.011;0.000;22.340;24.916;39.239;8.534;35.852;27.357;30.960;4.130;15.429;35.694;25.427;9.853;29.347;24.370;13.476;20.726
s26;22.198;13.747;9.447;7.339;0.383;19.544;8.961;12.519;5.976;3.300;10.114;11.632;10.439;15.390;17.105;12.089;12.527;9.094;21.554;14.051;20.348;16.768;14.026;6.999;22.340;0.000;2.575;18.843;15.628;20.998;16.637;10.033;26.110;10.006;16.669;15.613;24.559;12.024;12.777;21.612;8.788
s27;22.986;16.322;6.872;4.924;2.193;19.203;10.040;14.767;6.939;5.512;11.077;13.893;12.700;12.814;16.116;13.168;9.951;6.679;20.438;11.636;22.923;19.343;16.601;9.574;24.916;2.575;0.000;18.798;18.203;20.953;19.213;9.987;28.686;12.582;16.624;18.189;27.135;9.448;15.353;24.188;11.363
s28;35.975;25.002;15.022;14.093;19.226;32.192;27.500;29.948;12.867;21.940;12.928;17.096;16.018;12.453;18.051;29.404;19.296;12.119;21.842;7.307;37.246;30.526;20.278;22.714;39.239;18.843;18.798;0.000;33.057;16.638;22.646;8.811;39.270;26.601;12.309;26.298;35.160;12.445;19.227;29.924;21.022
