;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30;s31;s32;s33;s34;s35;s36;s37;s38;s39;s40;s41
s1;0.00;10666.38;1824.36;4091.83;11212.84;265.96;2185.04;2439.24;13712.36;7634.60;15938.15;13890.53;13465.11;2061.29;14420.98;2455.59;1279.05;2080.01;14979.49;2499.29;380.03;4647.65;12505.49;9129.00;571.17;10944.74;1830.56;2928.60;2916.74;14801.57;14359.96;15849.19;968.06;6642.86;16527.97;11825.18;1510.61;2064.25;14105.95;5279.37;9664.04
s2;10666.38;0.00;10550.21;8696.58;8687.37;11574.57;9744.69;9192.85;7557.57;9637.31;7692.11;5644.49;5219.06;11109.07;2444.72;9942.76;12046.15;8068.22;3003.24;10396.75;10562.40;6018.73;1839.11;6655.61;10753.55;8419.27;9872.42;10422.26;7749.64;2792.92;4543.96;9700.69;2392.99;5003.99;2795.21;1158.80;1922.76;10790.10;4289.95;1514.24;3354.04
s3;1824.36;10550.21;0.00;3795.94;1862.84;1558.39;3684.80;3163.22;4934.95;4673.72;1395.16;1799.14;8219.03;558.86;1786.41;3032.96;846.67;1019.04;2412.29;809.15;2014.26;11317.98;8491.24;6337.04;2205.40;2130.93;677.79;1238.46;9806.14;2332.82;8589.64;1283.15;2602.30;8164.82;1961.93;9020.88;12479.38;239.89;8335.64;12064.45;7196.17
s4;4091.83;8696.58;3795.94;0.00;4303.19;3825.87;10618.84;11097.23;1139.01;7114.07;3646.72;5752.51;4810.84;2256.70;1630.58;12250.54;3114.14;863.22;2256.46;1700.18;14747.39;10358.94;6756.01;7163.15;14938.53;4475.27;3118.15;1848.89;13607.70;2177.00;6854.41;1127.32;11653.76;9283.93;1806.10;7007.34;11520.34;4035.83;6600.40;7588.49;5342.54
s5;11212.84;8687.37;1862.84;4303.19;0.00;9635.62;5683.51;7462.34;3588.18;2266.99;6095.89;7156.95;6215.28;2421.70;7687.40;7315.21;2037.92;3044.53;6888.24;3623.53;11108.86;11063.90;6628.41;4474.21;11300.00;268.10;1185.04;6446.58;9969.17;6774.68;6726.80;5725.01;12358.73;6301.98;6403.79;7158.04;12225.30;2102.73;6472.80;10201.61;5333.33
s6;265.96;11574.57;1558.39;3825.87;9635.62;0.00;1919.08;2173.28;12131.50;7368.64;14639.21;15252.82;14827.40;1795.33;15783.26;2189.63;1013.09;1814.04;16341.78;2233.33;680.14;5555.84;15623.85;7548.14;871.29;9363.88;1564.60;2662.64;3824.93;16163.86;15722.24;2078.15;1268.18;7638.02;2756.93;12733.37;6114.97;1798.29;15468.24;6187.56;11026.33
s7;2185.04;9744.69;3684.80;10618.84;5683.51;1919.08;0.00;3540.72;8564.94;3416.53;11072.65;11989.27;11563.85;2434.75;12519.72;1631.70;1652.51;9360.18;13078.23;9939.18;7183.83;8520.77;12360.30;4461.21;7374.97;5515.00;7500.69;11423.34;7008.93;12900.31;12458.70;10701.77;9815.60;4740.70;11380.55;11741.58;9682.17;3924.69;12204.69;9754.76;7762.78
s8;2439.24;9192.85;3163.22;11097.23;7462.34;2173.28;3540.72;0.00;9958.22;5195.36;12465.93;12902.92;12477.49;3400.16;13433.36;1705.99;2617.92;11960.44;13991.88;3838.16;3643.11;5348.25;13273.95;5374.86;3834.26;7190.60;9191.28;12816.62;3617.35;13813.95;13372.34;12095.05;4231.15;4188.86;12773.83;10351.65;5907.39;3403.11;13118.34;5979.97;8676.43
s9;13712.36;7557.57;4934.95;1139.01;3588.18;12131.50;8564.94;9958.22;0.00;5523.43;2507.71;4613.51;3671.84;3395.71;2674.18;10196.64;4253.15;2002.22;3300.06;2839.19;13608.38;9219.93;5617.00;6024.15;13799.52;3320.08;4257.15;2858.40;12468.69;3186.50;5715.40;2136.83;10514.76;8144.92;2815.61;5868.34;10381.33;5174.84;5461.40;6449.49;4203.53
s10;7634.60;9637.31;4673.72;7114.07;2266.99;7368.64;3416.53;5195.36;5523.43;0.00;8031.14;8086.87;7145.19;5232.58;8617.31;5048.23;3337.15;5855.41;9175.83;6434.41;8838.47;10175.41;7578.35;4465.31;9029.61;2098.47;3995.92;8381.82;8663.57;8709.93;7676.74;7660.25;11470.24;6293.09;8339.03;8107.98;11336.81;4913.61;7422.74;11151.55;6283.27
s11;15938.15;7692.11;1395.16;3646.72;6095.89;14639.21;11072.65;12465.93;2507.71;8031.14;0.00;3414.72;2473.04;1763.47;607.13;12704.35;1478.43;376.11;1233.02;1206.95;15834.17;11290.51;4418.21;9575.68;16025.32;5827.79;6764.86;2730.16;13021.41;945.83;4516.61;2008.59;6129.45;9662.42;2687.37;7105.30;5659.22;1776.21;4262.61;5250.69;6274.11
s12;13890.53;5644.49;1799.14;5752.51;7156.95;15252.82;11989.27;12902.92;4613.51;8086.87;3414.72;0.00;941.67;2167.46;530.45;13652.83;1882.42;780.10;1088.96;1610.94;13786.55;9242.89;2370.59;7528.06;13977.70;6888.85;8482.91;1549.60;10973.79;911.04;2468.99;828.04;4081.83;7614.80;913.33;5057.68;3611.60;2180.20;2214.99;3203.07;4226.49
s13;13465.11;5219.06;8219.03;4810.84;6215.28;14827.40;11563.85;12477.49;3671.84;7145.19;2473.04;941.67;0.00;4236.51;1472.12;13227.41;7537.24;2849.15;2030.64;3679.99;13361.13;8817.46;1945.17;7102.63;13552.28;5947.18;7541.24;5203.20;10548.37;1852.71;2043.56;4481.63;3656.41;7189.38;1855.01;4632.26;3186.18;4249.25;1789.56;2777.65;3801.06
s14;2061.29;11109.07;558.86;2256.70;2421.70;1795.33;2434.75;3400.16;3395.71;5232.58;1763.47;2167.46;4236.51;0.00;2154.72;3269.90;782.24;1387.36;2780.60;556.52;2262.07;10955.52;2367.38;6895.90;2453.22;2689.80;1236.65;985.83;7017.50;2208.65;2464.01;1421.66;2850.11;7175.45;1837.76;9579.74;9307.54;318.97;6026.08;3199.86;7755.03
s15;14420.98;2444.72;1786.41;1630.58;7687.40;15783.26;12519.72;13433.36;2674.18;8617.31;607.13;530.45;1472.12;2154.72;0.00;14183.27;1869.68;767.36;558.52;1598.20;14317.00;9773.33;605.61;8058.50;2713.74;7419.30;2626.85;1536.87;11504.24;1076.73;309.29;815.30;2316.85;8145.24;1019.40;936.42;1846.62;2167.46;761.22;1438.09;4756.93
s16;2455.59;9942.76;3032.96;12250.54;7315.21;2189.63;1631.70;1705.99;10196.64;5048.23;12704.35;13652.83;13227.41;3269.90;14183.27;0.00;2487.66;10991.88;14741.79;3707.90;5349.10;7054.24;14023.86;6124.77;5540.24;7146.70;9132.39;4137.21;5323.33;14563.87;14122.25;12333.47;5937.13;4938.77;13012.25;11101.56;7613.37;3272.85;13868.25;7685.96;9426.34
s17;1279.05;12046.15;846.67;3114.14;2037.92;1013.09;1652.51;2617.92;4253.15;3337.15;1478.43;1882.42;7537.24;782.24;1869.68;2487.66;0.00;1102.32;2495.56;1220.24;1479.84;10173.28;8666.32;5390.54;1670.98;2306.02;852.87;1649.55;6235.27;2416.10;2178.97;1366.42;2067.87;6393.21;2045.20;9195.96;8525.30;963.34;8510.72;8597.89;8692.11
