;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16
s1;0.00;34.13;3.72;15.87;25.38;12.98;22.52;30.47;4.01;25.22;30.59;15.96;29.25;21.36;28.46;27.04
s2;34.13;0.00;31.39;30.82;16.39;23.75;21.21;21.83;31.11;16.65;27.63;31.19;11.31;20.90;12.09;18.40
s3;3.72;31.39;0.00;19.03;23.14;10.25;25.20;31.61;0.28;24.65;34.14;19.51;26.52;21.77;25.73;28.18
s4;15.87;30.82;19.03;0.00;15.11;16.75;11.32;19.27;18.75;14.18;15.17;0.55;20.89;10.60;20.10;15.84
s5;25.38;16.39;23.14;15.11;0.00;14.33;6.34;9.32;22.86;2.35;17.17;15.48;5.78;4.52;4.99;5.88
s6;12.98;23.75;10.25;16.75;14.33;0.00;16.68;22.80;9.97;15.84;29.85;16.93;17.74;13.25;16.95;19.37
s7;22.52;21.21;25.20;11.32;6.34;16.68;0.00;7.95;24.92;4.56;13.17;11.68;12.12;3.43;11.33;4.52
s8;30.47;21.83;31.61;19.27;9.32;22.80;7.95;0.00;31.33;6.96;8.95;19.29;13.67;11.32;12.88;3.44
s9;4.01;31.11;0.28;18.75;22.86;9.97;24.92;31.33;0.00;24.37;33.85;19.23;26.23;21.49;25.45;27.90
s10;25.22;16.65;24.65;14.18;2.35;15.84;4.56;6.96;24.37;0.00;14.81;14.54;7.69;4.36;6.90;3.53
s11;30.59;27.63;34.14;15.17;17.17;29.85;13.17;8.95;33.85;14.81;0.00;14.62;21.20;16.60;20.73;11.38
s12;15.96;31.19;19.51;0.55;15.48;16.93;11.68;19.29;19.23;14.54;14.62;0.00;21.25;10.96;20.47;16.20
s13;29.25;11.31;26.52;20.89;5.78;17.74;12.12;13.67;26.23;7.69;21.20;21.25;0.00;10.29;0.79;10.23
s14;21.36;20.90;21.77;10.60;4.52;13.25;3.43;11.32;21.49;4.36;16.60;10.96;10.29;0.00;9.51;7.88
s15;28.46;12.09;25.73;20.10;4.99;16.95;11.33;12.88;25.45;6.90;20.73;20.47;0.79;9.51;0.00;9.45
s16;27.04;18.40;28.18;15.84;5.88;19.37;4.52;3.44;27.90;3.53;11.38;16.20;10.23;7.88;9.45;0.00
