;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16
s1;0.00;12948.00;510.74;2200.28;10703.71;5252.82;5632.72;8915.96;614.40;10427.73;4557.28;2174.65;12659.94;8404.18;12262.74;7246.73
s2;12948.00;0.00;12510.25;11258.84;6514.20;9180.38;7818.59;8308.31;12406.58;5829.22;8443.87;11335.50;3769.45;9045.65;4166.65;6639.09
s3;510.74;12510.25;0.00;2748.23;10968.36;4815.06;11962.40;14785.79;103.66;11499.48;5180.27;2797.63;12222.19;10455.91;11824.99;13116.56
s4;2200.28;11258.84;2748.23;0.00;6076.06;6413.70;3642.11;6925.35;2644.57;5429.62;2509.76;127.12;8899.88;3544.61;8502.68;5256.13
s5;10703.71;6514.20;10968.36;6076.06;0.00;6898.10;2490.47;4310.82;10864.70;1024.51;5606.28;6152.71;2823.82;2531.45;2426.62;2641.59
s6;5252.82;9180.38;4815.06;6413.70;6898.10;0.00;7607.34;10715.53;4711.40;7429.22;10700.12;5029.24;8111.77;6100.84;7714.57;9046.30
s7;5632.72;7818.59;11962.40;3642.11;2490.47;7607.34;0.00;3283.24;11858.74;1989.36;3092.78;3718.76;5314.29;1506.50;4917.09;1614.02
s8;8915.96;8308.31;14785.79;6925.35;4310.82;10715.53;3283.24;0.00;14682.13;3286.31;1499.96;3264.72;6003.88;5541.78;5606.68;1669.23
s9;614.40;12406.58;103.66;2644.57;10864.70;4711.40;11858.74;14682.13;0.00;11395.82;5076.60;2693.97;12118.52;10352.24;11721.32;13012.90
s10;10427.73;5829.22;11499.48;5429.62;1024.51;7429.22;1989.36;3286.31;11395.82;0.00;4581.78;5506.27;3183.87;2255.47;2786.68;1617.08
s11;4557.28;8443.87;5180.27;2509.76;5606.28;10700.12;3092.78;1499.96;5076.60;4581.78;0.00;2382.63;6522.82;4599.28;6902.14;2848.27
s12;2174.65;11335.50;2797.63;127.12;6152.71;5029.24;3718.76;3264.72;2693.97;5506.27;2382.63;0.00;8976.53;3621.26;8579.33;5332.78
s13;12659.94;3769.45;12222.19;8899.88;2823.82;8111.77;5314.29;6003.88;12118.52;3183.87;6522.82;8976.53;0.00;5355.27;397.20;4334.65
s14;8404.18;9045.65;10455.91;3544.61;2531.45;6100.84;1506.50;5541.78;10352.24;2255.47;4599.28;3621.26;5355.27;0.00;4958.07;3872.56
s15;12262.74;4166.65;11824.99;8502.68;2426.62;7714.57;4917.09;5606.68;11721.32;2786.68;6902.14;8579.33;397.20;4958.07;0.00;3937.45
s16;7246.73;6639.09;13116.56;5256.13;2641.59;9046.30;1614.02;1669.23;13012.90;1617.08;2848.27;5332.78;4334.65;3872.56;3937.45;0.00
