;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17
s1;0.000;25.008;17.082;26.125;13.917;13.137;6.740;0.621;16.174;25.544;13.253;29.189;24.707;7.262;21.722;23.829;14.226
s2;25.008;0.000;20.262;2.887;19.626;22.156;31.748;24.387;25.193;12.150;27.141;16.840;5.755;23.145;10.050;10.190;19.858
s3;17.082;20.262;0.000;21.629;3.165;4.181;20.338;16.461;5.491;9.198;28.671;12.842;24.282;10.939;24.031;10.376;26.537
s4;26.125;2.887;21.629;0.000;22.323;24.853;32.865;25.504;26.981;13.008;24.688;17.904;2.985;25.392;7.597;11.254;17.405
s5;13.917;19.626;3.165;22.323;0.000;2.530;18.587;13.296;5.567;11.628;25.506;15.272;22.667;7.774;20.866;12.806;23.371
s6;13.137;22.156;4.181;24.853;2.530;0.000;16.157;12.516;3.037;13.379;26.390;17.023;25.197;7.233;23.396;14.557;25.571
s7;6.740;31.748;20.338;32.865;18.587;16.157;0.000;7.361;18.398;29.536;17.243;33.181;31.447;13.199;27.275;30.569;17.467
s8;0.621;24.387;16.461;25.504;13.296;12.516;7.361;0.000;15.553;24.923;13.874;28.568;24.086;6.641;21.101;23.208;14.847
s9;16.174;25.193;5.491;26.981;5.567;3.037;18.398;15.553;0.000;14.549;29.427;16.445;28.234;10.271;26.433;15.727;28.608
s10;25.544;12.150;9.198;13.008;11.628;13.379;29.536;24.923;14.549;0.000;32.956;5.697;15.993;19.402;20.605;3.400;30.014
s11;13.253;27.141;28.671;24.688;25.506;26.390;17.243;13.874;29.427;32.956;0.000;36.601;21.702;20.515;17.090;29.577;7.282
s12;29.189;16.840;12.842;17.904;15.272;17.023;33.181;28.568;16.445;5.697;36.601;0.000;20.890;23.046;25.362;8.212;34.466
s13;24.707;5.755;24.282;2.985;22.667;25.197;31.447;24.086;28.234;15.993;21.702;20.890;0.000;23.974;4.612;14.239;14.420
s14;7.262;23.145;10.939;25.392;7.774;7.233;13.199;6.641;10.271;19.402;20.515;23.046;23.974;0.000;22.173;20.269;21.488
s15;21.722;10.050;24.031;7.597;20.866;23.396;27.275;21.101;26.433;20.605;17.090;25.362;4.612;22.173;0.000;18.712;9.808
s16;23.829;10.190;10.376;11.254;12.806;14.557;30.569;23.208;15.727;3.400;29.577;8.212;14.239;20.269;18.712;0.000;26.614
S17;14.226;19.858;26.537;17.405;23.371;25.571;17.467;14.847;28.608;30.014;7.282;34.466;14.420;21.488;9.808;26.614;0.000
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
