;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17
s1;0.00;11987.50;8018.08;11739.93;6947.29;5883.04;970.35;125.85;7266.97;11651.58;2615.64;12273.34;11520.45;3046.14;9644.58;10238.92;2453.17
s2;11987.50;0.00;10035.31;1008.72;9865.73;11014.04;12957.86;11861.65;12397.98;3677.89;4517.95;3223.88;1772.80;10728.55;2131.16;2326.11;3483.92
s3;8018.08;10035.31;0.00;5611.05;1070.80;2026.45;7622.52;7892.23;1842.55;3455.70;10073.73;4077.47;11714.42;4722.66;10680.89;3985.56;9961.65
s4;11739.93;1008.72;5611.05;0.00;9144.74;10293.05;12710.28;11614.08;7230.85;1891.33;3695.99;2523.25;450.99;11261.52;1309.20;1625.49;2661.96
s5;6947.29;9865.73;1070.80;9144.74;0.00;1148.32;7705.35;6821.43;2532.25;4704.29;9002.93;5326.06;10564.87;3651.87;9610.10;5234.15;8890.85
s6;5883.04;11014.04;2026.45;10293.05;1148.32;0.00;5596.07;5757.19;1383.93;5482.15;8498.68;6103.92;11713.18;2735.40;10758.42;6012.01;9936.66
s7;970.35;12957.86;7622.52;12710.28;7705.35;5596.07;0.00;1096.20;6639.09;11078.22;3169.61;11699.99;12490.80;3777.83;4073.90;11209.28;2721.13
s8;125.85;11861.65;7892.23;11614.08;6821.43;5757.19;1096.20;0.00;7141.12;11525.73;2741.49;12147.49;11394.59;2920.28;9518.73;10113.07;2579.03
s9;7266.97;12397.98;1842.55;7230.85;2532.25;1383.93;6639.09;7141.12;0.00;5075.50;9882.61;3647.16;13097.12;4119.33;12142.35;5605.36;11320.59
s10;11651.58;3677.89;3455.70;1891.33;4704.29;5482.15;11078.22;11525.73;5075.50;0.00;10991.16;909.14;2342.32;8356.16;3200.53;695.38;10152.24
s11;2615.64;4517.95;10073.73;3695.99;9002.93;8498.68;3169.61;2741.49;9882.61;10991.16;0.00;11612.92;3245.00;5661.77;2386.79;9553.27;1034.03
s12;12273.34;3223.88;4077.47;2523.25;5326.06;6103.92;11699.99;12147.49;3647.16;909.14;11612.92;0.00;2974.25;8977.93;3800.30;1384.34;11500.84
s13;11520.45;1772.80;11714.42;450.99;10564.87;11713.18;12490.80;11394.59;13097.12;2342.32;3245.00;2974.25;0.00;11042.04;858.21;2076.48;2210.97
s14;3046.14;10728.55;4722.66;11261.52;3651.87;2735.40;3777.83;2920.28;4119.33;8356.16;5661.77;8977.93;11042.04;0.00;10087.27;7965.87;5499.31
s15;9644.58;2131.16;10680.89;1309.20;9610.10;10758.42;4073.90;9518.73;12142.35;3200.53;2386.79;3800.30;858.21;10087.27;0.00;2902.53;1352.76
s16;10238.92;2326.11;3985.56;1625.49;5234.15;6012.01;11209.28;10113.07;5605.36;695.38;9553.27;1384.34;2076.48;7965.87;2902.53;0.00;9456.86
S17;2453.17;3483.92;9961.65;2661.96;8890.85;9936.66;2721.13;2579.03;11320.59;10152.24;1034.03;11500.84;2210.97;5499.31;1352.76;9456.86;0.00
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
