;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19
s1;0.000;10.827;11.028;20.768;6.965;29.019;17.357;14.243;24.750;7.660;3.203;29.879;19.079;21.324;28.740;15.479;6.990;23.653;9.389
s2;10.827;0.000;10.421;21.081;12.328;20.050;11.581;6.380;25.063;12.677;9.699;20.910;9.869;16.894;25.047;17.623;5.872;17.741;8.782
s3;11.028;10.421;0.000;11.931;5.054;21.609;19.617;16.208;15.913;17.825;10.524;22.468;13.562;10.519;18.065;7.202;5.873;12.625;1.639
s4;20.768;21.081;11.931;0.000;13.804;18.241;27.141;24.813;5.254;28.429;21.219;19.100;19.499;5.501;7.971;5.289;17.804;8.831;13.570
s5;6.965;12.328;5.054;13.804;0.000;26.046;21.980;17.836;17.786;14.625;7.415;26.906;17.181;14.359;21.775;8.515;7.108;17.144;5.258
s6;29.019;20.050;21.609;18.241;26.046;0.000;20.294;22.615;19.889;32.728;28.515;0.859;13.904;12.740;16.016;20.907;22.029;10.556;20.788
s7;17.357;11.581;19.617;27.141;21.980;20.294;0.000;5.201;31.123;14.036;17.411;19.435;9.855;22.917;31.042;24.941;15.524;23.763;17.978
s8;14.243;6.380;16.208;24.813;17.836;22.615;5.201;0.000;28.795;11.159;13.115;22.787;8.711;20.589;28.741;22.613;10.728;21.436;14.568
s9;24.750;25.063;15.913;5.254;17.786;19.889;31.123;28.795;0.000;32.411;25.201;20.748;23.572;9.573;6.445;9.271;21.786;10.923;17.552
s10;7.660;12.677;17.825;28.429;14.625;32.728;14.036;11.159;32.411;0.000;8.133;32.334;19.870;28.344;35.890;23.140;11.952;29.975;16.186
s11;3.203;9.699;10.524;21.219;7.415;28.515;17.411;13.115;25.201;8.133;0.000;29.374;18.539;21.043;28.589;15.929;6.486;23.149;8.884
s12;29.879;20.910;22.468;19.100;26.906;0.859;19.435;22.787;20.748;32.334;29.374;0.000;14.659;13.600;16.875;21.766;22.888;11.415;21.647
s13;19.079;9.869;13.562;19.499;17.181;13.904;9.855;8.711;23.572;19.870;18.539;14.659;0.000;13.998;21.187;17.943;12.089;14.405;11.922
s14;21.324;16.894;10.519;5.501;14.359;12.740;22.917;20.589;9.573;28.344;21.043;13.600;13.998;0.000;8.400;8.166;16.392;3.756;12.159
s15;28.740;25.047;18.065;7.971;21.775;16.016;31.042;28.741;6.445;35.890;28.589;16.875;21.187;8.400;0.000;13.260;23.938;7.306;19.704
s16;15.479;17.623;7.202;5.289;8.515;20.907;24.941;22.613;9.271;23.140;15.929;21.766;17.943;8.166;13.260;0.000;13.075;11.922;8.841
s17;6.990;5.872;5.873;17.804;7.108;22.029;15.524;10.728;21.786;11.952;6.486;22.888;12.089;16.392;23.938;13.075;0.000;18.023;4.234
s18;23.653;17.741;12.625;8.831;17.144;10.556;23.763;21.436;10.923;29.975;23.149;11.415;14.405;3.756;7.306;11.922;18.023;0.000;14.264
s19;9.389;8.782;1.639;13.570;5.258;20.788;17.978;14.568;17.552;16.186;8.884;21.647;11.922;12.159;19.704;8.841;4.234;14.264;0.000
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
