;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19
s1;0.00;4452.81;4854.94;6951.33;1273.14;11833.37;4429.76;5849.24;9142.09;1130.33;990.55;12020.98;7226.80;7587.25;10258.21;4878.51;2273.82;11286.86;4040.40
s2;4452.81;0.00;4792.27;9856.13;5744.25;8901.31;5954.28;3279.55;12046.89;5167.35;4909.13;9088.92;4653.67;7751.80;10938.99;7958.36;2638.73;8111.77;3977.73
s3;4854.94;4792.27;0.00;5759.04;1862.76;10055.54;8949.41;7940.09;7949.80;6906.75;5110.86;10243.14;5966.11;5565.33;8315.89;3166.10;2769.37;6431.92;814.54
s4;6951.33;9856.13;5759.04;0.00;5678.19;8306.16;12597.46;11247.54;2324.46;8081.66;7944.43;8493.77;8993.16;2770.92;3306.87;2072.82;8528.41;3569.58;6573.58
s5;1273.14;5744.25;1862.76;5678.19;0.00;11137.40;9934.26;8820.02;7868.95;2403.46;2266.24;11325.01;7272.69;6314.11;8985.07;3605.37;3145.90;8512.12;2121.12
s6;11833.37;8901.31;10055.54;8306.16;11137.40;0.00;3066.64;9552.33;8371.60;14068.67;12089.29;187.61;5899.54;5535.24;6369.02;8850.70;9559.55;4418.01;9016.28
s7;4429.76;5954.28;8949.41;12597.46;9934.26;3066.64;0.00;2674.72;14788.22;3916.96;5288.49;2879.03;4081.62;10533.28;13016.03;10905.73;6828.74;10893.25;8134.87
s8;5849.24;3279.55;7940.09;11247.54;8820.02;9552.33;2674.72;0.00;13438.30;3455.44;6305.56;6847.46;3652.79;9183.36;12370.56;9555.81;5674.11;9543.33;7125.55
s9;9142.09;12046.89;7949.80;2324.46;7868.95;8371.60;14788.22;13438.30;0.00;10272.42;10135.19;8559.21;10297.98;4075.74;2608.07;4263.58;10719.17;4395.32;8764.34
s10;1130.33;5167.35;6906.75;8081.66;2403.46;14068.67;3916.96;3455.44;10272.42;0.00;2127.05;4812.79;7108.24;12472.08;15222.64;6008.83;4137.38;11893.28;6092.21
s11;990.55;4909.13;5110.86;7944.43;2266.24;12089.29;5288.49;6305.56;10135.19;2127.05;0.00;12276.90;8637.35;10676.19;13426.75;5871.61;2529.74;11542.79;4296.32
s12;12020.98;9088.92;10243.14;8493.77;11325.01;187.61;2879.03;6847.46;8559.21;4812.79;12276.90;0.00;3370.02;5722.84;6556.63;9038.31;9747.16;4605.61;9203.89
s13;7226.80;4653.67;5966.11;8993.16;7272.69;5899.54;4081.62;3652.79;10297.98;7108.24;8637.35;3370.02;0.00;6222.24;8934.41;7423.65;4952.98;6280.70;5151.57
s14;7587.25;7751.80;5565.33;2770.92;6314.11;5535.24;10533.28;9183.36;4075.74;12472.08;10676.19;5722.84;6222.24;0.00;3008.16;3315.46;8334.70;1911.62;6379.87
s15;10258.21;10938.99;8315.89;3306.87;8985.07;6369.02;13016.03;12370.56;2608.07;15222.64;13426.75;6556.63;8934.41;3008.16;0.00;5379.70;11085.26;2827.22;9130.43
s16;4878.51;7958.36;3166.10;2072.82;3605.37;8850.70;10905.73;9555.81;4263.58;6008.83;5871.61;9038.31;7423.65;3315.46;5379.70;0.00;5935.47;5227.09;3980.63
s17;2273.82;2638.73;2769.37;8528.41;3145.90;9559.55;6828.74;5674.11;10719.17;4137.38;2529.74;9747.16;4952.98;8334.70;11085.26;5935.47;0.00;7755.91;1954.83
s18;11286.86;8111.77;6431.92;3569.58;8512.12;4418.01;10893.25;9543.33;4395.32;11893.28;11542.79;4605.61;6280.70;1911.62;2827.22;5227.09;7755.91;0.00;7246.46
s19;4040.40;3977.73;814.54;6573.58;2121.12;9016.28;8134.87;7125.55;8764.34;6092.21;4296.32;9203.89;5151.57;6379.87;9130.43;3980.63;1954.83;7246.46;0.00
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
