;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21
s1;0.000;18.688;4.316;2.464;1.861;17.416;21.191;9.044;33.041;9.754;16.082;29.048;19.433;27.672;20.619;20.801;4.975;3.723;23.820;26.408;10.160
s2;18.688;0.000;21.271;16.223;20.549;29.440;33.133;19.908;36.837;20.619;26.254;17.765;3.571;26.770;27.906;25.076;18.517;15.314;8.320;25.506;14.563
s3;4.316;21.271;0.000;5.048;2.455;14.435;18.545;9.665;30.060;10.375;13.435;30.940;22.017;28.077;17.637;20.582;6.035;7.511;26.404;27.468;11.220
s4;2.464;16.223;5.048;0.000;4.325;19.483;23.397;9.968;35.108;10.678;18.288;27.055;16.969;26.032;22.685;21.749;5.129;2.463;21.356;24.767;8.519
s5;1.861;20.549;2.455;4.325;0.000;15.628;19.404;8.710;31.254;9.420;14.294;29.985;21.294;27.777;18.831;20.066;5.080;5.585;25.681;26.513;10.265
s6;17.416;29.440;14.435;19.483;15.628;0.000;4.326;12.851;15.839;12.141;3.186;26.763;30.186;14.516;4.076;8.342;17.691;21.140;31.075;15.780;16.201
s7;21.191;33.133;18.545;23.397;19.404;4.326;0.000;16.503;12.481;16.467;7.512;27.914;33.878;15.667;5.227;9.493;21.181;24.915;33.103;16.931;20.527
s8;9.044;19.908;9.665;9.968;8.710;12.851;16.503;0.000;27.916;0.710;9.665;23.881;20.654;20.506;13.333;12.493;4.839;11.486;23.675;19.242;6.576
s9;33.041;36.837;30.060;35.108;31.254;15.839;12.481;27.916;0.000;27.206;19.026;24.101;33.266;10.067;16.185;17.673;31.959;35.732;30.966;11.331;26.774
s10;9.754;20.619;10.375;10.678;9.420;12.141;16.467;0.710;27.206;0.000;8.954;23.170;21.364;19.795;12.623;11.783;5.550;12.197;22.964;18.531;7.035
s11;16.082;26.254;13.435;18.288;14.294;3.186;7.512;9.665;19.026;8.954;0.000;26.997;26.999;15.481;5.041;7.147;14.504;19.805;27.889;16.365;13.015
s12;29.048;17.765;30.940;27.055;29.985;26.763;27.914;23.881;24.101;23.170;26.997;0.000;14.194;14.739;22.687;20.307;24.905;27.494;9.613;13.475;19.927
s13;19.433;3.571;22.017;16.969;21.294;30.186;33.878;20.654;33.266;21.364;26.999;14.194;0.000;23.199;28.651;25.821;19.263;16.060;4.749;21.935;15.309
s14;27.672;26.770;28.077;26.032;27.777;14.516;15.667;20.506;10.067;19.795;15.481;14.739;23.199;0.000;10.440;10.588;22.697;26.471;20.899;1.264;17.512
s15;20.619;27.906;17.637;22.685;18.831;4.076;5.227;13.333;16.185;12.623;5.041;22.687;28.651;10.440;0.000;4.265;18.172;23.762;27.876;11.704;15.867
s16;20.801;25.076;20.582;21.749;20.066;8.342;9.493;12.493;17.673;11.783;7.147;20.307;25.821;10.588;4.265;0.000;17.333;22.188;24.817;9.675;13.229
s17;4.975;18.517;6.035;5.129;5.080;17.691;21.181;4.839;31.959;5.550;14.504;24.905;19.263;22.697;18.172;17.333;0.000;6.647;24.011;21.433;5.185
s18;3.723;15.314;7.511;2.463;5.585;21.140;24.915;11.486;35.732;12.197;19.805;27.494;16.060;26.471;23.762;22.188;6.647;0.000;20.447;25.207;8.959
s19;23.820;8.320;26.404;21.356;25.681;31.075;33.103;23.675;30.966;22.964;27.889;9.613;4.749;20.899;27.876;24.817;24.011;20.447;0.000;19.635;19.721
s20;26.408;25.506;27.468;24.767;26.513;15.780;16.931;19.242;11.331;18.531;16.365;13.475;21.935;1.264;11.704;9.675;21.433;25.207;19.635;0.000;16.248
s21;10.160;14.563;11.220;8.519;10.265;16.201;20.527;6.576;26.774;7.035;13.015;19.927;15.309;17.512;15.867;13.229;5.185;8.959;19.721;16.248;0.000
