;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21
s1;0.00;2975.82;681.33;442.45;318.74;3621.80;4341.64;4300.16;5831.61;4609.01;5308.70;11611.21;2899.17;12742.61;4519.79;9231.63;2408.43;716.93;3580.45;12133.41;4805.45
s2;2975.82;0.00;3407.35;2533.36;3294.56;9541.28;11010.92;7269.78;12070.48;7578.63;8950.12;3046.04;683.58;9361.01;10225.10;9136.66;6289.01;2432.11;1529.63;8751.81;4560.87
s3;681.33;3407.35;0.00;873.99;362.59;2008.39;2777.81;4261.92;4218.20;4570.76;3744.87;13247.88;3330.71;7217.66;2906.38;6639.59;2789.35;1389.63;4011.98;12514.32;5186.37
s4;442.45;2533.36;873.99;0.00;761.19;2882.38;3634.38;4958.78;5092.20;5267.63;4601.44;11242.06;2456.72;12038.81;3780.37;9663.11;2342.87;515.64;3137.99;11429.61;4101.65
s5;318.74;3294.56;362.59;761.19;0.00;2244.21;2964.05;4151.42;4454.02;4460.27;3931.11;13137.38;3217.91;13013.03;3142.20;9506.31;2678.85;1035.67;3899.19;12403.83;5075.87
s6;3621.80;9541.28;2008.39;2882.38;2244.21;0.00;795.89;4834.94;2270.17;4526.09;591.16;10730.90;9464.63;4948.57;637.29;2281.92;7450.85;4338.73;11734.85;5557.77;6077.11
s7;4341.64;11010.92;2777.81;3634.38;2964.05;795.89;0.00;4685.53;2066.38;5321.98;1387.05;10879.42;10934.27;5097.09;785.81;2430.44;6987.31;5058.57;13179.25;5706.29;6873.00
s8;4300.16;7269.78;4261.92;4958.78;4151.42;4834.94;4685.53;0.00;10505.79;308.84;4243.78;10471.15;7193.13;9606.41;6344.95;5683.16;2615.91;5640.50;9963.52;8997.21;3377.79
s9;5831.61;12070.48;4218.20;5092.20;4454.02;2270.17;2066.38;10505.79;0.00;10196.95;2861.32;8491.97;11386.90;2709.47;2261.65;5540.60;11571.33;13271.12;10962.76;3318.67;9174.31
s10;4609.01;7578.63;4570.76;5267.63;4460.27;4526.09;5321.98;308.84;10196.95;0.00;3934.94;10162.31;7501.98;9297.56;6036.11;5374.32;2924.76;5949.35;9654.67;8688.36;3549.11
s11;5308.70;8950.12;3744.87;4601.44;3931.11;591.16;1387.05;4243.78;2861.32;3934.94;0.00;13252.38;8873.48;5374.21;1062.92;2894.71;6859.69;6025.63;11143.69;8003.17;5485.95
s12;11611.21;3046.04;13247.88;11242.06;13137.38;10730.90;10879.42;10471.15;8491.97;10162.31;13252.38;0.00;2362.46;6239.84;10093.61;9844.66;10458.53;11237.21;1559.08;5630.64;8318.48
s13;2899.17;683.58;3330.71;2456.72;3217.91;9464.63;10934.27;7193.13;11386.90;7501.98;8873.48;2362.46;0.00;8677.43;10148.46;9060.01;6212.36;2355.47;846.05;8068.23;4484.22
s14;12742.61;9361.01;7217.66;12038.81;13013.03;4948.57;5097.09;9606.41;2709.47;9297.56;5374.21;6239.84;8677.43;0.00;4311.28;4371.84;10334.17;12033.96;8253.28;609.20;7937.16
s15;4519.79;10225.10;2906.38;3780.37;3142.20;637.29;785.81;6344.95;2261.65;6036.11;1062.92;10093.61;10148.46;4311.28;0.00;1644.63;8960.86;10424.97;12393.44;4920.48;6805.37
s16;9231.63;9136.66;6639.59;9663.11;9506.31;2281.92;2430.44;5683.16;5540.60;5374.32;2894.71;9844.66;9060.01;4371.84;1644.63;0.00;8299.07;9658.26;10813.08;4595.46;5561.46
s17;2408.43;6289.01;2789.35;2342.87;2678.85;7450.85;6987.31;2615.91;11571.33;2924.76;6859.69;10458.53;6212.36;10334.17;8960.86;8299.07;0.00;3024.59;7058.41;9724.97;2397.01
s18;716.93;2432.11;1389.63;515.64;1035.67;4338.73;5058.57;5640.50;13271.12;5949.35;6025.63;11237.21;2355.47;12033.96;10424.97;9658.26;3024.59;0.00;3036.74;11424.76;4096.80
s19;3580.45;1529.63;4011.98;3137.99;3899.19;11734.85;13179.25;9963.52;10962.76;9654.67;11143.69;1559.08;846.05;8253.28;12393.44;10813.08;7058.41;3036.74;0.00;7644.08;7810.84
s20;12133.41;8751.81;12514.32;11429.61;12403.83;5557.77;5706.29;8997.21;3318.67;8688.36;8003.17;5630.64;8068.23;609.20;4920.48;4595.46;9724.97;11424.76;7644.08;0.00;7327.96
s21;4805.45;4560.87;5186.37;4101.65;5075.87;6077.11;6873.00;3377.79;9174.31;3549.11;5485.95;8318.48;4484.22;7937.16;6805.37;5561.46;2397.01;4096.80;7810.84;7327.96;0.00
