;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;S22;S23
s1;0.000;32.283;26.198;14.431;31.864;13.428;25.932;16.831;22.023;22.777;20.815;5.696;22.540;20.902;16.004;17.357;22.079;18.817;19.485;12.952;29.745;23.103;17.853
s2;32.283;0.000;23.362;22.741;5.534;32.133;8.209;25.180;15.546;9.506;19.004;30.572;13.816;16.141;21.324;19.971;17.740;22.847;13.853;25.300;10.847;32.816;14.431
s3;26.198;23.362;0.000;35.367;28.896;14.477;23.395;9.367;30.505;19.744;5.973;28.424;12.192;22.221;10.785;9.432;5.621;8.100;19.845;13.246;29.452;11.194;17.956
s4;14.431;22.741;35.367;0.000;17.433;27.859;19.199;28.790;7.593;21.363;29.393;8.735;28.139;13.808;26.374;27.727;30.657;30.633;16.184;24.911;15.363;36.999;18.684
s5;31.864;5.534;28.896;17.433;0.000;37.026;9.022;30.204;10.099;12.341;24.249;26.168;18.527;14.218;26.218;24.965;23.274;27.871;14.380;30.194;7.614;38.350;17.266
s6;13.428;32.133;14.477;27.859;37.026;0.000;29.758;8.463;32.104;24.876;15.620;19.123;18.995;25.212;10.809;12.161;15.903;10.796;23.311;6.832;34.717;9.676;19.982
s7;25.932;8.209;23.395;19.199;9.022;29.758;0.000;23.376;12.230;5.513;17.421;23.511;11.698;8.823;19.390;18.137;18.334;21.043;6.447;22.926;6.058;31.584;10.438
s8;16.831;25.180;9.367;28.790;30.204;8.463;23.376;0.000;28.528;18.908;7.792;20.055;12.173;20.244;4.841;5.239;7.440;2.332;17.906;3.879;29.312;8.209;14.576
s9;22.023;15.546;30.505;7.593;10.099;32.104;12.230;28.528;0.000;15.838;24.532;16.328;22.947;8.284;23.687;25.040;25.796;27.946;10.660;27.074;7.807;36.737;15.412
s10;22.777;9.506;19.744;21.363;12.341;24.876;5.513;18.908;15.838;0.000;13.770;21.066;8.897;7.555;14.067;14.486;15.034;17.392;5.179;18.043;11.570;27.117;4.925
s11;20.815;19.004;5.973;29.393;24.249;15.620;17.421;7.792;24.532;13.770;0.000;22.450;6.218;16.248;4.811;3.459;1.264;5.459;13.872;8.787;23.479;15.427;11.982
s12;5.696;30.572;28.424;8.735;26.168;19.123;23.511;20.055;16.328;21.066;22.450;0.000;24.175;15.667;17.639;18.992;23.714;21.898;17.533;16.176;24.099;28.264;17.216
s13;22.540;13.816;12.192;28.139;18.527;18.995;11.698;12.173;22.947;8.897;6.218;24.175;0.000;14.663;8.187;6.934;6.635;9.840;12.287;12.163;17.756;20.381;10.398
s14;20.902;16.141;22.221;13.808;14.218;25.212;8.823;20.244;8.284;7.555;16.248;15.667;14.663;0.000;15.404;16.756;17.512;19.663;2.376;18.817;9.738;28.453;7.129
s15;16.004;21.324;10.785;26.374;26.218;10.809;19.390;4.841;23.687;14.067;4.811;17.639;8.187;15.404;0.000;1.353;6.075;4.259;13.065;3.976;24.471;13.049;9.736
s16;17.357;19.971;9.432;27.727;24.965;12.161;18.137;5.239;25.040;14.486;3.459;18.992;6.934;16.756;1.353;0.000;4.723;2.906;14.418;5.329;24.194;13.447;11.089
s17;22.079;17.740;5.621;30.657;23.274;15.903;18.334;7.440;25.796;15.034;1.264;23.714;6.635;17.512;6.075;4.723;0.000;5.107;15.136;10.052;24.391;15.075;13.246
s18;18.817;22.847;8.100;30.633;27.871;10.796;21.043;2.332;27.946;17.392;5.459;21.898;9.840;19.663;4.259;2.906;5.107;0.000;17.324;5.864;27.101;10.541;13.995
s19;19.485;13.853;19.845;16.184;14.380;23.311;6.447;17.906;10.660;5.179;13.872;17.533;12.287;2.376;13.065;14.418;15.136;17.324;0.000;16.479;11.406;26.114;4.790
s20;12.952;25.300;13.246;24.911;30.194;6.832;22.926;3.879;27.074;18.043;8.787;16.176;12.163;18.817;3.976;5.329;10.052;5.864;16.479;0.000;27.885;12.088;13.149
s21;29.745;10.847;29.452;15.363;7.614;34.717;6.058;29.312;7.807;11.570;23.479;24.099;17.756;9.738;24.471;24.194;24.391;27.101;11.406;27.885;0.000;37.520;16.196
S22;23.103;32.816;11.194;36.999;38.350;9.676;31.584;8.209;36.737;27.117;15.427;28.264;20.381;28.453;13.049;13.447;15.075;10.541;26.114;12.088;37.520;0.000;22.785
S23;17.853;14.431;17.956;18.684;17.266;19.982;10.438;14.576;15.412;4.925;11.982;17.216;10.398;7.129;9.736;11.089;13.246;13.995;4.790;13.149;16.196;22.785;0.000
