;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;S22;S23
s1;0.00;12478.83;8421.37;2077.31;4722.98;2447.70;10936.89;4774.23;3135.54;9080.37;7890.99;839.62;9624.34;8057.74;6180.70;6380.15;8500.19;5399.09;7446.82;3260.89;10049.13;4243.51;7185.65
s2;12478.83;0.00;8196.71;3387.96;868.67;12192.56;3062.70;9150.75;3511.61;3398.47;6334.47;10058.23;4429.98;6925.26;7587.25;7387.80;5725.27;8014.39;5479.84;9516.21;4407.47;11312.11;5293.18
s3;8421.37;8196.71;0.00;13707.00;9065.39;5339.66;10984.44;3647.14;14160.90;8499.88;2767.95;10868.85;5927.77;10095.91;4478.24;4278.79;2471.45;3928.10;9001.55;5160.48;14354.69;3138.03;8184.06
s4;2077.31;3387.96;13707.00;0.00;2645.67;4525.01;7608.36;8289.64;1058.23;8005.60;10939.05;1237.69;10562.35;5075.32;7628.31;7827.76;11548.25;9494.90;6169.67;6776.31;3488.96;10834.18;6124.22
s5;4722.98;868.67;9065.39;2645.67;0.00;16815.74;3247.03;13853.53;2737.16;5000.37;10881.57;3883.36;7953.67;5590.80;12210.43;11050.02;6593.94;12717.16;7005.66;14139.39;2126.24;12180.78;6895.08
s6;2447.70;12192.56;5339.66;4525.01;16815.74;0.00;13319.68;2871.03;13355.68;10859.00;6315.61;3287.32;9094.00;10468.75;4605.32;4804.77;6296.51;4007.39;9829.60;2676.35;15539.43;1795.81;8554.34
s7;10936.89;3062.70;10984.44;7608.36;3247.03;13319.68;0.00;11188.45;6266.30;2335.29;8216.49;8633.82;5288.59;4584.43;9545.35;8384.94;7992.87;10052.09;3490.08;10643.33;3370.25;13732.99;4230.01
s8;4774.23;9150.75;3647.14;8289.64;13853.53;2871.03;11188.45;0.00;12752.05;8154.39;3721.98;7051.95;6131.78;8687.05;1900.71;2803.51;3425.48;1136.36;7552.54;1513.34;13262.37;2544.54;6277.28
s9;3135.54;3511.61;14160.90;1058.23;2737.16;13355.68;6266.30;12752.05;0.00;6995.29;11392.96;2295.92;10913.75;4065.00;10851.34;11050.79;12002.16;12717.93;5159.35;11648.30;2922.16;15296.59;7304.58
s10;9080.37;3398.47;8499.88;8005.60;5000.37;10859.00;2335.29;8154.39;6995.29;0.00;5731.93;6659.77;4090.83;2930.29;6253.69;5900.38;6341.13;7567.52;1835.94;8182.65;5705.54;10698.93;1894.71
s11;7890.99;6334.47;2767.95;10939.05;10881.57;6315.61;8216.49;3721.98;11392.96;5731.93;0.00;8100.90;3159.82;7327.96;1710.29;1510.84;609.20;2585.62;6233.61;3639.26;11586.74;5883.34;5416.11
s12;839.62;10058.23;10868.85;1237.69;3883.36;3287.32;8633.82;7051.95;2295.92;6659.77;8100.90;0.00;9834.26;4580.74;6390.62;6590.06;8710.10;8257.21;5385.14;5538.61;4726.66;9596.49;5506.92
s13;9624.34;4429.98;5927.77;10562.35;7953.67;9094.00;5288.59;6131.78;10913.75;4090.83;3159.82;9834.26;0.00;6848.75;4488.68;3328.27;2704.28;4995.42;5754.40;6417.65;8658.84;8676.32;4936.90
s14;8057.74;6925.26;10095.91;5075.32;5590.80;10468.75;4584.43;8687.05;4065.00;2930.29;7327.96;4580.74;6848.75;0.00;6786.34;6985.79;7937.16;8652.94;1094.35;8287.76;5140.83;11231.59;3239.59
s15;6180.70;7587.25;4478.24;7628.31;12210.43;4605.32;9545.35;1900.71;10851.34;6253.69;1710.29;6390.62;4488.68;6786.34;0.00;199.45;2319.49;1866.59;5651.83;1928.97;11361.67;4445.24;4376.57
s16;6380.15;7387.80;4278.79;7827.76;11050.02;4804.77;8384.94;2803.51;11050.79;5900.38;1510.84;6590.06;3328.27;6985.79;199.45;0.00;2120.04;1667.15;5851.28;2128.42;11755.19;5348.04;4576.02
s17;8500.19;5725.27;2471.45;11548.25;6593.94;6296.51;7992.87;3425.48;12002.16;6341.13;609.20;8710.10;2704.28;7937.16;2319.49;2120.04;0.00;2289.12;6842.80;4248.46;11363.12;5586.84;6025.31
s18;5399.09;8014.39;3928.10;9494.90;12717.16;4007.39;10052.09;1136.36;12717.93;7567.52;2585.62;8257.21;4995.42;8652.94;1866.59;1667.15;2289.12;0.00;7518.43;2138.19;13422.34;3680.90;6243.17
s19;7446.82;5479.84;9001.55;6169.67;7005.66;9829.60;3490.08;7552.54;5159.35;1835.94;6233.61;5385.14;5754.40;1094.35;5651.83;5851.28;6842.80;7518.43;0.00;7153.25;5709.83;10097.08;2105.08
s20;3260.89;9516.21;5160.48;6776.31;14139.39;2676.35;10643.33;1513.34;11648.30;8182.65;3639.26;5538.61;6417.65;8287.76;1928.97;2128.42;4248.46;2138.19;7153.25;0.00;12863.08;4057.87;5877.99
s21;10049.13;4407.47;14354.69;3488.96;2126.24;15539.43;3370.25;13262.37;2922.16;5705.54;11586.74;4726.66;8658.84;5140.83;11361.67;11755.19;11363.12;13422.34;5709.83;12863.08;0.00;15806.91;7814.91
S22;4243.51;11312.11;3138.03;10834.18;12180.78;1795.81;13732.99;2544.54;15296.59;10698.93;5883.34;9596.49;8676.32;11231.59;4445.24;5348.04;5586.84;3680.90;10097.08;4057.87;15806.91;0.00;8821.82
S23;7185.65;5293.18;8184.06;6124.22;6895.08;8554.34;4230.01;6277.28;7304.58;1894.71;5416.11;5506.92;4936.90;3239.59;4376.57;4576.02;6025.31;6243.17;2105.08;5877.99;7814.91;8821.82;0.00
