;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30;s31
s1;0.000;22.522;9.170;24.592;24.652;24.386;18.591;22.190;21.044;38.287;30.762;25.470;37.878;20.582;17.871;18.584;26.970;27.332;23.951;11.050;1.652;35.898;17.739;29.138;21.422;26.076;22.407;25.781;21.663;23.415;22.498
s2;22.522;0.000;14.462;12.853;4.287;15.562;10.100;0.777;12.553;19.702;10.316;16.646;15.540;1.941;16.998;29.210;15.716;4.810;21.685;15.071;20.870;13.560;28.365;6.656;18.595;29.341;6.169;33.218;22.902;21.149;14.008
s3;9.170;14.462;0.000;15.422;15.636;15.684;9.421;14.130;11.874;33.489;21.592;16.768;29.327;12.521;10.692;20.472;18.267;19.091;20.695;1.880;7.518;27.347;19.682;20.587;14.244;27.146;14.886;26.851;19.882;21.230;13.328
s4;24.592;12.853;15.422;0.000;8.566;2.709;7.863;13.005;5.410;20.213;8.663;3.793;18.464;11.751;9.224;19.107;2.862;10.508;12.602;14.188;22.940;16.484;18.262;8.661;6.151;20.259;15.177;24.135;14.890;13.138;5.064
s5;24.652;4.287;15.636;8.566;0.000;11.275;8.899;5.064;8.575;17.853;8.611;12.359;13.691;5.601;13.560;25.772;11.428;3.455;19.979;14.402;23.000;11.711;24.926;4.951;14.616;27.636;9.027;31.513;21.196;19.444;10.029
s6;24.386;15.562;15.684;2.709;11.275;0.000;6.263;15.677;3.810;17.868;7.597;1.084;16.474;14.423;6.515;16.398;2.583;13.104;9.893;13.983;23.202;19.080;15.553;11.257;3.442;17.550;17.849;21.427;12.181;10.429;2.355
s7;18.591;10.100;9.421;7.863;8.899;6.263;0.000;9.414;2.453;24.131;13.860;7.347;22.591;8.160;6.898;19.110;8.846;12.355;14.946;7.720;16.939;20.610;18.265;13.850;8.494;22.602;11.586;25.434;17.234;15.481;3.908
s8;22.190;0.777;14.130;13.005;5.064;15.677;9.414;0.000;11.867;20.479;11.093;16.761;16.317;2.057;16.312;28.524;15.867;5.586;22.461;14.739;20.538;14.337;27.679;7.433;17.908;30.118;5.483;33.994;23.678;21.926;13.322
s9;21.044;12.553;11.874;5.410;8.575;3.810;2.453;11.867;0.000;21.678;11.407;4.894;20.284;10.613;4.985;17.197;6.393;12.030;12.493;10.173;19.391;19.402;16.352;11.579;6.041;20.150;14.039;23.520;14.781;13.028;1.455
s10;38.287;19.702;33.489;20.213;17.853;17.868;24.131;20.479;21.678;0.000;11.938;16.784;5.187;21.642;23.412;27.997;17.351;14.892;15.407;31.851;39.939;7.901;27.152;13.965;19.860;18.847;25.332;22.723;16.624;14.872;20.224
s11;30.762;10.316;21.592;8.663;8.611;7.597;13.860;11.093;11.407;11.938;0.000;6.513;10.544;12.257;14.112;23.958;7.080;5.507;11.368;20.358;29.110;11.483;23.113;3.660;11.039;19.025;16.090;22.902;12.585;10.833;9.952
s12;25.470;16.646;16.768;3.793;12.359;1.084;7.347;16.761;4.894;16.784;6.513;0.000;15.390;15.507;7.599;17.482;1.499;12.019;9.012;15.067;24.286;17.996;16.637;10.173;4.526;16.669;18.933;20.545;11.300;9.548;3.440
s13;37.878;15.540;29.327;18.464;13.691;16.474;22.591;16.317;20.284;5.187;10.544;15.390;0.000;17.481;22.989;28.768;15.957;10.731;16.178;28.093;36.226;2.714;27.922;9.803;19.916;19.997;21.170;23.874;17.395;15.643;18.829
s14;20.582;1.941;12.521;11.751;5.601;14.423;8.160;2.057;10.613;21.642;12.257;15.507;17.481;0.000;15.058;27.270;14.613;6.750;23.106;13.130;18.929;15.501;26.425;8.597;16.654;30.762;4.228;33.593;24.842;23.090;12.067
s15;17.871;16.998;10.692;9.224;13.560;6.515;6.898;16.312;4.985;23.412;14.112;7.599;22.989;15.058;0.000;12.212;9.099;17.015;10.003;8.812;18.210;24.387;11.367;16.564;3.551;17.659;18.484;18.536;11.567;10.538;6.440
s16;18.584;29.210;20.472;19.107;25.772;16.398;19.110;28.524;17.197;27.997;23.958;17.482;28.768;27.270;12.212;0.000;18.982;29.227;13.660;18.592;20.236;31.482;0.845;27.618;12.957;17.653;30.696;15.940;11.373;13.125;17.543
s17;26.970;15.716;18.267;2.862;11.428;2.583;8.846;15.867;6.393;17.351;7.080;1.499;15.957;14.613;9.099;18.982;0.000;11.341;10.511;16.566;25.785;17.317;18.136;9.494;6.025;18.168;18.039;22.045;12.799;11.047;4.939
s18;27.332;4.810;19.091;10.508;3.455;13.104;12.355;5.586;12.030;14.892;5.507;12.019;10.731;6.750;17.015;29.227;11.341;0.000;16.875;17.857;25.680;8.751;28.382;1.847;16.545;24.532;10.934;28.408;18.092;16.340;13.485
s19;23.951;21.685;20.695;12.602;19.979;9.893;14.946;22.461;12.493;15.407;11.368;9.012;16.178;23.106;10.003;13.660;10.511;16.875;0.000;18.815;25.603;18.892;12.815;15.028;6.451;7.657;26.532;11.533;2.288;0.535;11.038
s20;11.050;15.071;1.880;14.188;14.402;13.983;7.720;14.739;10.173;31.851;20.358;15.067;28.093;13.130;8.812;18.592;16.566;17.857;18.815;0.000;9.398;26.113;17.802;19.353;12.364;25.266;16.765;24.971;18.002;19.351;11.627
s21;1.652;20.870;7.518;22.940;23.000;23.202;16.939;20.538;19.391;39.939;29.110;24.286;36.226;18.929;18.210;20.236;25.785;25.680;25.603;9.398;0.000;34.245;19.391;27.485;21.761;27.728;20.755;27.433;23.315;25.067;20.846
s22;35.898;13.560;27.347;16.484;11.711;19.080;20.610;14.337;19.402;7.901;11.483;17.996;2.714;15.501;24.387;31.482;17.317;8.751;18.892;26.113;34.245;0.000;30.636;7.823;22.522;22.711;19.190;26.588;20.109;18.356;20.857
s23;17.739;28.365;19.682;18.262;24.926;15.553;18.265;27.679;16.352;27.152;23.113;16.637;27.922;26.425;11.367;0.845;18.136;28.382;12.815;17.802;19.391;30.636;0.000;26.772;12.111;16.807;29.851;15.095;10.527;12.280;16.698
s24;29.138;6.656;20.587;8.661;4.951;11.257;13.850;7.433;11.579;13.965;3.660;10.173;9.803;8.597;16.564;27.618;9.494;1.847;15.028;19.353;27.485;7.823;26.772;0.000;14.699;22.685;12.430;26.561;16.245;14.493;13.034
s25;21.422;18.595;14.244;6.151;14.616;3.442;8.494;17.908;6.041;19.860;11.039;4.526;19.916;16.654;3.551;12.957;6.025;16.545;6.451;12.364;21.761;22.522;12.111;14.699;0.000;14.108;20.080;17.985;8.739;6.987;4.587
s26;26.076;29.341;27.146;20.259;27.636;17.550;22.602;30.118;20.150;18.847;19.025;16.669;19.997;30.762;17.659;17.653;18.168;24.532;7.657;25.266;27.728;22.711;16.807;22.685;14.108;0.000;34.188;3.877;9.944;8.192;18.695
s27;22.407;6.169;14.886;15.177;9.027;17.849;11.586;5.483;14.039;25.332;16.090;18.933;21.170;4.228;18.484;30.696;18.039;10.934;26.532;16.765;20.755;19.190;29.851;12.430;20.080;34.188;0.000;37.019;28.675;26.923;15.493
s28;25.781;33.218;26.851;24.135;31.513;21.427;25.434;33.994;23.520;22.723;22.902;20.545;23.874;33.593;18.536;15.940;22.045;28.408;11.533;24.971;27.433;26.588;15.095;26.561;17.985;3.877;37.019;0.000;10.395;12.069;22.571
s29;21.663;22.902;19.882;14.890;21.196;12.181;17.234;23.678;14.781;16.624;12.585;11.300;17.395;24.842;11.567;11.373;12.799;18.092;2.288;18.002;23.315;20.109;10.527;16.245;8.739;9.944;28.675;10.395;0.000;1.752;13.326
s30;23.415;21.149;21.230;13.138;19.444;10.429;15.481;21.926;13.028;14.872;10.833;9.548;15.643;23.090;10.538;13.125;11.047;16.340;0.535;19.351;25.067;18.356;12.280;14.493;6.987;8.192;26.923;12.069;1.752;0.000;11.574
s31;22.498;14.008;13.328;5.064;10.029;2.355;3.908;13.322;1.455;20.224;9.952;3.440;18.829;12.067;6.440;17.543;4.939;13.485;11.038;11.627;20.846;20.857;16.698;13.034;4.587;18.695;15.493;22.571;13.326;11.574;0.000
