;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30;s31
s1;0.00;6251.90;1287.87;11201.33;9753.18;9775.35;7565.86;8050.94;9312.56;3214.55;12185.18;10215.56;9434.02;6147.19;5890.80;1519.71;11167.01;6657.45;2003.51;2032.12;159.46;9057.25;1412.91;8553.57;7711.97;2070.64;2144.61;2027.36;1826.38;1986.47;10263.08
s2;6251.90;0.00;5566.29;4691.36;358.60;6611.56;4520.81;78.71;6267.52;1796.58;773.35;7051.78;1441.84;104.70;9783.98;15327.16;6536.94;405.56;1574.81;6263.88;6092.43;1065.07;15220.36;550.52;10164.35;2392.57;593.19;2722.48;1717.85;1557.76;7218.03
s3;1287.87;5566.29;0.00;9913.46;9698.96;10355.58;6277.99;7365.33;8024.69;11310.25;10897.31;10795.80;10955.52;5461.58;5756.87;7697.88;11747.25;9997.15;11217.78;744.25;1128.41;10578.75;9712.31;10075.08;7578.04;10156.22;5955.89;10112.95;11398.45;11234.83;8975.20
s4;11201.33;4691.36;9913.46;0.00;4332.76;1920.21;4515.07;6950.48;2768.36;5661.56;2871.87;2360.42;3857.44;6676.72;5804.75;8045.49;1845.59;3017.00;7783.23;8481.01;11041.87;3480.67;7938.69;2872.04;4143.49;8600.99;7097.09;8930.90;7960.36;7800.28;3300.59
s5;9753.18;358.60;9698.96;4332.76;0.00;6252.97;4402.82;437.31;4204.40;1611.30;598.95;6693.18;1256.56;670.52;8200.49;13743.67;6178.34;298.19;1400.41;8266.51;9593.72;879.79;13636.88;376.12;8101.24;2218.16;1090.89;2548.08;1543.45;1383.36;5154.91
s6;9775.35;6611.56;10355.58;1920.21;6252.97;0.00;4077.60;8767.46;2330.89;3297.04;2320.24;440.22;3130.01;8493.70;3884.54;6125.28;1391.67;2688.04;5863.02;8548.21;11483.99;3151.70;6018.49;2543.07;2223.28;6680.78;8914.07;7010.70;6040.16;5880.07;1380.38
s7;7565.86;4520.81;6277.99;4515.07;4402.82;4077.60;0.00;4689.87;1746.71;7374.64;6397.84;4517.81;5659.38;4416.11;5263.17;10806.35;5469.27;4701.01;9283.29;4470.62;7406.40;5282.61;10699.55;4778.94;5643.54;10101.04;4836.48;11100.19;9460.42;9300.33;2697.22
s8;8050.94;78.71;7365.33;6950.48;437.31;8767.46;4689.87;0.00;6436.57;1875.29;852.06;9207.68;1520.55;341.88;9953.03;15496.21;8796.07;484.27;1653.52;8062.92;7891.47;1143.78;15389.42;629.23;10333.41;2471.28;762.25;2801.19;1796.56;1636.47;7387.08
s9;9312.56;6267.52;8024.69;2768.36;4204.40;2330.89;1746.71;6436.57;0.00;5627.93;4651.13;2771.11;5460.90;6162.81;3996.09;9539.27;3722.56;4502.59;7536.58;6217.32;9153.10;4361.01;9432.48;3752.38;3896.84;8354.34;6583.18;9833.12;7713.71;7553.63;950.51
s10;3214.55;1796.58;11310.25;5661.56;1611.30;3297.04;7374.64;1875.29;5627.93;0.00;1146.57;2856.82;492.60;1901.28;6591.40;2303.44;3815.97;1391.02;1245.13;11845.26;3374.01;673.67;2196.65;1340.14;4770.24;1712.07;2500.06;2041.99;1388.17;1228.08;4677.42
