;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;S22;S23;S24;S25;S26
s1;0.000;20.940;4.783;10.949;19.709;23.787;7.927;14.607;21.619;9.565;47.155;30.370;10.912;11.783;8.835;15.385;38.969;26.419;20.679;31.893;43.917;18.630;28.472;27.084;3.862;28.677
s2;20.940;0.000;16.296;11.216;20.816;44.728;13.153;13.561;4.400;17.063;26.215;9.430;10.167;32.723;29.775;5.555;32.506;14.762;24.818;10.953;22.977;23.366;7.532;37.884;24.802;49.617
s3;4.783;16.296;0.000;6.500;37.112;28.571;3.143;9.824;16.975;9.208;42.511;25.727;6.129;16.567;13.618;10.741;43.753;21.602;25.463;27.249;39.273;23.413;23.828;31.867;8.645;33.460
s4;10.949;11.216;6.500;0.000;32.032;34.736;3.357;6.486;11.895;12.383;37.431;20.646;1.897;22.732;19.784;5.660;43.722;16.521;36.034;22.169;34.193;29.578;18.747;38.033;14.811;39.626
s5;19.709;20.816;37.112;32.032;0.000;16.453;33.969;12.119;25.216;10.860;28.171;11.386;30.983;11.812;11.718;26.372;17.311;3.134;6.701;6.944;24.933;8.054;13.285;14.021;16.917;21.095
s6;23.787;44.728;28.571;34.736;16.453;0.000;31.714;38.395;45.407;32.483;16.232;54.158;34.700;7.462;9.636;39.172;11.991;17.003;12.600;20.812;22.199;8.399;52.259;4.564;10.677;8.061
s7;7.927;13.153;3.143;3.357;33.969;31.714;0.000;6.680;13.832;12.352;39.368;22.583;2.985;19.710;16.762;7.597;45.659;18.459;37.971;24.106;36.130;26.556;20.684;35.010;11.788;36.604
s8;14.607;13.561;9.824;6.486;12.119;38.395;6.680;0.000;14.240;3.502;39.776;22.991;5.262;12.935;10.761;8.005;46.067;10.229;16.769;24.514;36.538;16.042;21.092;41.691;18.469;43.284
s9;21.619;4.400;16.975;11.895;25.216;45.407;13.832;14.240;0.000;17.742;30.615;13.831;10.846;33.403;30.454;6.235;36.907;9.189;29.219;15.353;27.377;17.793;11.932;48.703;25.481;50.296
s10;9.565;17.063;9.208;12.383;10.860;32.483;12.352;3.502;17.742;0.000;43.279;26.494;8.764;10.169;7.995;11.508;24.625;10.102;13.767;11.965;40.040;13.041;24.595;17.380;13.427;37.373
